[' Bowling Green', ' Hampton', 'TAB', 'LadBrokes', 1.11, 6.4, 90.09, 15.62, 105.72, 'NO', 0, '05:16']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'LadBrokes', 'LadBrokes', 1.28, 3.75, 78.12, 26.67, 104.79, 'NO', 0, '05:39']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 9.75, 94.34, 10.26, 104.6, 'NO', 0, '05:39']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.85, 1.44, 35.09, 69.44, 104.53, 'NO', 0, '05:39']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '05:39']
[' Bowling Green', ' Hampton', 'TAB', 'LadBrokes', 1.4, 6.4, 71.43, 15.62, 87.05, 'YES', 12.95, '05:39']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '06:12']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.85, 1.44, 35.09, 69.44, 104.53, 'NO', 0, '06:12']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '06:12']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.37, 3.25, 72.99, 30.77, 103.76, 'NO', 0, '06:41']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '06:41']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '06:41']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '06:41']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.35, 3.25, 74.07, 30.77, 104.84, 'NO', 0, '07:16']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '07:16']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '07:16']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.34, 29.85, 74.63, 104.48, 'NO', 0, '07:16']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.35, 3.25, 74.07, 30.77, 104.84, 'NO', 0, '07:40']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '07:40']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '07:40']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.34, 29.85, 74.63, 104.48, 'NO', 0, '07:40']
